Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C17, C18",0603,3,1uF,
"C11, C12, C2",0603,3,0.01uF,
"C14, C15",0603,2,6pF,
C16,0603,1,2.2uF,
"C19, C5, C7, C9",0603,4,0.1uF,
"C4, C6, C8",0805,3,10uF,
D1,D_SOD-123,1,1N5819HW-7-F,
D2,0805,1,LTST-C170KRKT,
IC1,SOIC127P600X175-8N,1,TMP275AIDR,
IC2,SOT230P700X180-4N,1,SPX1117M3-L_TR,
IC4,QFN50P300X300X65-17N-D,1,PAM8904QJER,
J2,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,1,Conn_01x09_Socket,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J9,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"R1, R2",0603,2,5.1k,
"R10, R11, R14, R15, R16, R17, R18, R19, R20, R5, R6, R7, R8, R9",0603,14,10k,
"R12, R13",0603,2,4.7k,
R3,0603,1,1k,
R4,0603,1,0,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
